"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
24598,2902,0.493071579149931,0.995903910673043,"Zipf Markov control",1,2001,"strict equifinality"
28746,3103,0.45986207993293,0.99699883064053,"Zipf Markov control",1,2001,"strict equifinality"
33594,3329,0.422468244354487,0.994846071555723,"Zipf Markov control",1,2001,"strict equifinality"
39259,3565,0.385427675055296,0.991557502104585,"Zipf Markov control",1,2001,"strict equifinality"
45879,3786,0.354157929118141,0.98929826368008,"Zipf Markov control",1,2001,"strict equifinality"
53616,3959,0.313583848896736,0.987653329996439,"Zipf Markov control",1,2001,"strict equifinality"
62657,4140,0.274777044423346,0.989046025446499,"Zipf Markov control",1,2001,"strict equifinality"
73223,4337,0.274777044423346,0.989046025446499,"Zipf Markov control",1,2001,"strict equifinality"
85570,4474,0.274777044423346,0.989046025446499,"Zipf Markov control",1,2001,"strict equifinality"
100000,4614,0.274777044423346,0.989046025446499,"Zipf Markov control",1,2001,"strict equifinality"
500,259,1.20828463499608,0.993206119462821,"latent mixture",1,2001,"strict equifinality"
584,336,1.20828463499608,0.993206119462821,"latent mixture",1,2001,"strict equifinality"
683,412,1.20828463499608,0.993206119462821,"latent mixture",1,2001,"strict equifinality"
798,501,1.20828463499608,0.993206119462821,"latent mixture",1,2001,"strict equifinality"
933,584,1.13756258287336,0.998666495276316,"latent mixture",1,2001,"strict equifinality"
1090,689,1.10323076765238,0.999254671875559,"latent mixture",1,2001,"strict equifinality"
1274,829,0.99097094091455,0.982154172347885,"latent mixture",1,2001,"strict equifinality"
1488,992,0.898279326466199,0.969222875875233,"latent mixture",1,2001,"strict equifinality"
1739,1156,0.719925882740038,0.924608748275926,"latent mixture",1,2001,"strict equifinality"
2033,1189,0.573466401376804,0.928693526757339,"latent mixture",1,2001,"strict equifinality"
2375,1341,0.485291273248798,0.963381475158351,"latent mixture",1,2001,"strict equifinality"
2776,1341,0.444484213349358,0.973059001966914,"latent mixture",1,2001,"strict equifinality"
3244,1486,0.417039714540087,0.951050481431491,"latent mixture",1,2001,"strict equifinality"
3791,1633,0.413992618564424,0.951892426852082,"latent mixture",1,2001,"strict equifinality"
4431,1726,0.525312820287281,0.938835637884036,"latent mixture",1,2001,"strict equifinality"
5178,1726,0.52582486422669,0.938910481059058,"latent mixture",1,2001,"strict equifinality"
6051,1969,0.502147009657752,0.92474272077845,"latent mixture",1,2001,"strict equifinality"
7071,2343,0.48395089879477,0.909879462591697,"latent mixture",1,2001,"strict equifinality"
8263,2402,0.43510413691667,0.867257414007254,"latent mixture",1,2001,"strict equifinality"
9657,2456,0.35217041115888,0.903333405562505,"latent mixture",1,2001,"strict equifinality"
11285,2581,0.313621035341851,0.943382101229836,"latent mixture",1,2001,"strict equifinality"
13188,2671,0.365276394111479,0.972009898454773,"latent mixture",1,2001,"strict equifinality"
15412,2940,0.403602285371928,0.990359690043549,"latent mixture",1,2001,"strict equifinality"
18011,3142,0.39834654309803,0.98795216205286,"latent mixture",1,2001,"strict equifinality"
21049,3320,0.389554471215094,0.985762686938515,"latent mixture",1,2001,"strict equifinality"
24598,3538,0.334222274904729,0.988963190956827,"latent mixture",1,2001,"strict equifinality"
28746,3668,0.290885086724634,0.977682050419728,"latent mixture",1,2001,"strict equifinality"
33594,3904,0.248050199297943,0.963413360442524,"latent mixture",1,2001,"strict equifinality"
39259,4001,0.223756874448844,0.977111007429875,"latent mixture",1,2001,"strict equifinality"
45879,4099,0.216565397203717,0.979432836854231,"latent mixture",1,2001,"strict equifinality"
53616,4194,0.196392999332596,0.985150152157425,"latent mixture",1,2001,"strict equifinality"
62657,4408,0.199245688124747,0.987223538340416,"latent mixture",1,2001,"strict equifinality"
73223,4563,0.199245688124747,0.987223538340416,"latent mixture",1,2001,"strict equifinality"
85570,4645,0.199245688124747,0.987223538340416,"latent mixture",1,2001,"strict equifinality"
100000,4782,0.199245688124747,0.987223538340416,"latent mixture",1,2001,"strict equifinality"
500,259,0.79177322652254,0.999600284544424,"sample-space reduction",1,2001,"strict equifinality"
584,295,0.79177322652254,0.999600284544424,"sample-space reduction",1,2001,"strict equifinality"
683,337,0.79177322652254,0.999600284544424,"sample-space reduction",1,2001,"strict equifinality"
798,377,0.79177322652254,0.999600284544424,"sample-space reduction",1,2001,"strict equifinality"
933,425,0.787671726188813,0.99971721996702,"sample-space reduction",1,2001,"strict equifinality"
1090,482,0.784124712282122,0.999723013956197,"sample-space reduction",1,2001,"strict equifinality"
1274,547,0.781764893480247,0.999598669675839,"sample-space reduction",1,2001,"strict equifinality"
1488,619,0.776300846570827,0.999578894181558,"sample-space reduction",1,2001,"strict equifinality"
1739,696,0.771447623156725,0.9997213089137,"sample-space reduction",1,2001,"strict equifinality"
2033,778,0.754005271739415,0.999381175873557,"sample-space reduction",1,2001,"strict equifinality"
2375,881,0.741508594821607,0.999284099883014,"sample-space reduction",1,2001,"strict equifinality"
2776,998,0.731038479896975,0.999099039962119,"sample-space reduction",1,2001,"strict equifinality"
3244,1101,0.719756441353915,0.999022480234562,"sample-space reduction",1,2001,"strict equifinality"
3791,1234,0.69587443687971,0.999291891707936,"sample-space reduction",1,2001,"strict equifinality"
4431,1376,0.669481081724827,0.998744982474449,"sample-space reduction",1,2001,"strict equifinality"
5178,1534,0.650598171112367,0.997621346792315,"sample-space reduction",1,2001,"strict equifinality"
6051,1690,0.621996975083773,0.9981215335167,"sample-space reduction",1,2001,"strict equifinality"
7071,1847,0.603583407729714,0.999194157409487,"sample-space reduction",1,2001,"strict equifinality"
8263,2024,0.581407849999661,0.999458266979755,"sample-space reduction",1,2001,"strict equifinality"
