"vocabulary_size","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5150,"refined",0.991294712502388,0.00329193964080872,0.00870528749761157,0.00924852476641149,4990.6,10.9056560248952,0.125185755490814
5200,"refined",0.991190778272005,0.00333517651484946,0.00880922172799481,0.00936020563874847,5033.7,10.8017488296006,0.174300817869842
5100,"refined",0.991357547244706,0.00334410048601113,0.00864245275529418,0.0092063400372775,4946.4,10.5535670641626,0.248576683525216
5250,"coarse",0.991271594291615,0.00337331555419125,0.00872840570838451,0.0092965799225034,5077.9,10.8264080428881,0.38746035427989
5250,"refined",0.991271594291615,0.00337331555419125,0.00872840570838451,0.0092965799225034,5077.9,10.8264080428881,0.38746035427989
5050,"refined",0.991269219226742,0.00331383465350429,0.00873078077325773,0.00927954109912646,4903.8,10.1083024181995,0.541326525508517
5300,"refined",0.9913207418693,0.00335738080126488,0.0086792581306997,0.00924523266119081,5121.2,10.9117673484485,0.75790987119253
5000,"coarse",0.991305569755865,0.00336464077939117,0.00869443024413508,0.0092618488482073,4860.1,9.79171985801155,1.01579552746049
5000,"refined",0.991305569755865,0.00336464077939117,0.00869443024413508,0.0092618488482073,4860.1,9.79171985801155,1.01579552746049
5350,"refined",0.991334456082863,0.00340963507419564,0.00866554391713725,0.00924957845445409,5165,11.5758369027902,1.29138934823511
4950,"refined",0.991232382955336,0.00332533772802502,0.00876761704466422,0.00931789635844759,4815.8,10.2718601582728,1.68847298668026
5400,"refined",0.991165993943738,0.00347325161902044,0.00883400605626239,0.00942850953916932,5208.4,13.3599733865337,1.97761950171571
4900,"refined",0.990976186734666,0.00337911435284754,0.00902381326533352,0.00957631339693246,4771.2,10.7682661350635,2.56805546504595
5450,"refined",0.991106616486496,0.00340026959347779,0.00889338351350355,0.00946033404778885,5250,14.5830952361516,2.77152554326473
4850,"refined",0.991053299337983,0.00339004248777648,0.00894670066201675,0.00950718686035821,4727.5,10.3842829956301,3.61766673790095
5500,"coarse",0.991105242770582,0.00328201711150504,0.00889475722941824,0.00942396831799002,5291.3,14.2364945747813,3.68937509819574
5500,"refined",0.991105242770582,0.00328201711150504,0.00889475722941824,0.00942396831799002,5291.3,14.2364945747813,3.68937509819574
5550,"refined",0.99107296794765,0.00334820122591927,0.00892703205235001,0.0094752998669175,5333.6,13.1925905130283,4.76270359899137
4800,"refined",0.991070224114283,0.00344788405228844,0.00892977588571697,0.00950999533981775,4682.5,10.9366864776819,4.9099358406807
5600,"refined",0.991002515079356,0.00333967798122877,0.008997484920644,0.0095390166691169,5375.4,13.7775985651427,5.95291339136263
4750,"coarse",0.991183435058652,0.00354830093194037,0.0088165649413483,0.00943733081534495,4637.7,10.3607164059463,6.41098416349012
4750,"refined",0.991183435058652,0.00354830093194037,0.0088165649413483,0.00943733081534495,4637.7,10.3607164059463,6.41098416349012
5650,"refined",0.990889518691753,0.00338965776275189,0.00911048130824654,0.00966134935925798,5417.2,14.1169716614042,7.26903053121799
4700,"refined",0.991198012838054,0.003519128565284,0.00880198716194647,0.00941386303661615,4592.6,9.44222196072278,8.15015114136607
5700,"refined",0.990852460306327,0.00335964145804228,0.00914753969367332,0.00968689599930063,5459.4,15.3637379710943,8.71897562906364
4650,"refined",0.991241058124757,0.00359535962155292,0.00875894187524329,0.0093996283171918,4547.1,8.60813568666294,10.1396052643784
5750,"coarse",0.990878869217603,0.00337179513679921,0.00912113078239674,0.0096657709961324,5501.9,15.0735235134693,10.2997664539746
5750,"refined",0.990878869217603,0.00337179513679921,0.00912113078239674,0.0096657709961324,5501.9,15.0735235134693,10.2997664539746
5800,"refined",0.99085642998675,0.00337932825288661,0.00914357001324984,0.00968931091893962,5543,15.7056253191863,11.9439777344785
4600,"refined",0.991301036719553,0.00369694691933166,0.00869896328044661,0.00937937295486632,4501.4,8.09938269252663,12.3826168741789
5850,"refined",0.990904592717858,0.0033041129086565,0.00909540728214231,0.00962038874109992,5584.5,16.7547671491496,13.7133046968165
4550,"refined",0.991164072374595,0.00377732951149501,0.00883592762540542,0.00953493646627877,4455.5,7.91973624701115,14.8957764317656
5900,"refined",0.990984156803641,0.00325596658321329,0.00901584319635906,0.00953029984277703,5624.8,17.5992424079371,15.5350221537051
5950,"refined",0.991070614358773,0.00307621526912982,0.00892938564122747,0.00939418534379564,5665.7,18.1110770279161,17.4866132817651
4500,"coarse",0.991294303594841,0.00370218395231181,0.00870569640515906,0.00938747566249199,4409.6,7.51590905272868,17.6644961217622
4500,"refined",0.991294303594841,0.00370218395231181,0.00870569640515906,0.00938747566249199,4409.6,7.51590905272868,17.6644961217622
6000,"coarse",0.991093415581385,0.00303052296349266,0.00890658441861469,0.00935910831729933,5706.1,17.4448336828478,19.5156414826841
6000,"refined",0.991093415581385,0.00303052296349266,0.00890658441861469,0.00935910831729933,5706.1,17.4448336828478,19.5156414826841
6250,"coarse",0.991202537303892,0.0029073412273732,0.00879746269610804,0.00921969194716171,5911.9,19.5984693279858,31.308371702807
4250,"coarse",0.990910714320943,0.00342419614254647,0.0090892856790572,0.00965234279622732,4179.6,6.75277720645365,35.8218017933286
6500,"coarse",0.991013689652276,0.00288349309195651,0.00898631034772435,0.00939344733502261,6109.6,19.0682982984848,44.7620239535252
4000,"coarse",0.990236295731244,0.00423806970045667,0.00976370426875606,0.010559120813546,3944.8,9.62404396406325,62.583415381049
