"model","stage","n_calibration_seeds","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss","relative_vocabulary_error","within_alpha_tolerance","within_vocabulary_tolerance"
"random","coarse",10,1.00137969690765,0.00682422270146263,0.0013796969076505,0.0066194091494802,12205.7,132.069888905668,0.00304570169116855,1.44114,TRUE,FALSE
"simon","coarse",10,0.997653284809223,0.0640396555532064,0.00234671519077678,0.0607986579393214,4488.6,51.1233801699379,0.00881131549859602,0.10228,TRUE,FALSE
"ssr","refined",10,0.991233093296519,0.00333230913978958,0.00876690670348113,0.00931946934810962,5016.8,11.3215625148553,0.122973845036068,0.00336000000000004,TRUE,TRUE
"latent","50-seed-final",50,1.00096936755015,0.0334342266804213,0.000969367550151867,0.0331123879672054,4739.3,64.065734736651,0.00150347751565989,0.05214,TRUE,FALSE
