"alpha","r2","n_fit","effective_r_max","vocabulary","tokens","r_max","generator","replicate","seed","benchmark"
1.026106333546,0.999285451586998,991,1000,4695,100000,1000,"latent mixture",3,2003,"strict equifinality"
1.02257821269221,0.998601163864859,1991,2000,4695,100000,2000,"latent mixture",3,2003,"strict equifinality"
1.01778700165751,0.998410892408152,2148,2157,4695,100000,3000,"latent mixture",3,2003,"strict equifinality"
0.990802732540345,0.999369925406158,291,300,5019,100000,300,"sample-space reduction",3,2003,"strict equifinality"
0.995420426931256,0.999402331671642,491,500,5019,100000,500,"sample-space reduction",3,2003,"strict equifinality"
0.988282969113656,0.999397795336402,991,1000,5019,100000,1000,"sample-space reduction",3,2003,"strict equifinality"
0.979799468507801,0.99880405684466,1991,2000,5019,100000,2000,"sample-space reduction",3,2003,"strict equifinality"
0.972039144542125,0.998207210437964,2579,2588,5019,100000,3000,"sample-space reduction",3,2003,"strict equifinality"
0.99832307649782,0.999448423517214,291,300,4842,100000,300,"finite Zipf reference",4,2004,"strict equifinality"
0.989462762376521,0.999446096832685,491,500,4842,100000,500,"finite Zipf reference",4,2004,"strict equifinality"
0.982034707274385,0.999442138717753,991,1000,4842,100000,1000,"finite Zipf reference",4,2004,"strict equifinality"
0.974267215065676,0.998819463945059,1991,2000,4842,100000,2000,"finite Zipf reference",4,2004,"strict equifinality"
0.971404363148538,0.99840644719601,2574,2583,4842,100000,3000,"finite Zipf reference",4,2004,"strict equifinality"
0.980641273981374,0.998769353915505,291,300,4651,100000,300,"Zipf Markov control",4,2004,"strict equifinality"
0.979480291484675,0.999228320920879,491,500,4651,100000,500,"Zipf Markov control",4,2004,"strict equifinality"
0.972272446751874,0.99927175772841,991,1000,4651,100000,1000,"Zipf Markov control",4,2004,"strict equifinality"
0.962430783427039,0.998602186243423,1991,2000,4651,100000,2000,"Zipf Markov control",4,2004,"strict equifinality"
0.965650199002344,0.998317399747899,2592,2601,4651,100000,3000,"Zipf Markov control",4,2004,"strict equifinality"
1.0057963133094,0.998944537217258,291,300,4677,100000,300,"latent mixture",4,2004,"strict equifinality"
1.02477024722416,0.999009828852673,491,500,4677,100000,500,"latent mixture",4,2004,"strict equifinality"
1.03889812567297,0.999115620115981,991,1000,4677,100000,1000,"latent mixture",4,2004,"strict equifinality"
1.03533460477586,0.99854027923913,1991,2000,4677,100000,2000,"latent mixture",4,2004,"strict equifinality"
1.03036575087466,0.998349828030044,2153,2162,4677,100000,3000,"latent mixture",4,2004,"strict equifinality"
0.995435207900229,0.999310986684323,291,300,4997,100000,300,"sample-space reduction",4,2004,"strict equifinality"
0.99104283017976,0.999459102347942,491,500,4997,100000,500,"sample-space reduction",4,2004,"strict equifinality"
0.98461859729406,0.999444224328714,991,1000,4997,100000,1000,"sample-space reduction",4,2004,"strict equifinality"
0.982762150685702,0.998908735718372,1991,2000,4997,100000,2000,"sample-space reduction",4,2004,"strict equifinality"
0.972533126315549,0.998026683711952,2631,2640,4997,100000,3000,"sample-space reduction",4,2004,"strict equifinality"
1.00633910625712,0.999302644156614,291,300,4872,100000,300,"finite Zipf reference",5,2005,"strict equifinality"
1.00160692685535,0.999474803862655,491,500,4872,100000,500,"finite Zipf reference",5,2005,"strict equifinality"
0.984027906516872,0.999143758789549,991,1000,4872,100000,1000,"finite Zipf reference",5,2005,"strict equifinality"
0.970803482393921,0.998580249640909,1991,2000,4872,100000,2000,"finite Zipf reference",5,2005,"strict equifinality"
0.96580781768965,0.998107929843977,2622,2631,4872,100000,3000,"finite Zipf reference",5,2005,"strict equifinality"
0.987887155695276,0.999034853720783,291,300,4619,100000,300,"Zipf Markov control",5,2005,"strict equifinality"
0.97765958037754,0.999200950286818,491,500,4619,100000,500,"Zipf Markov control",5,2005,"strict equifinality"
0.966922699823271,0.999186910775512,991,1000,4619,100000,1000,"Zipf Markov control",5,2005,"strict equifinality"
0.956638391550441,0.998535119575891,1991,2000,4619,100000,2000,"Zipf Markov control",5,2005,"strict equifinality"
0.963527617714312,0.998129016129405,2579,2588,4619,100000,3000,"Zipf Markov control",5,2005,"strict equifinality"
0.995962370589032,0.996945009989071,291,300,4830,100000,300,"latent mixture",5,2005,"strict equifinality"
0.958970742028445,0.996619504328119,491,500,4830,100000,500,"latent mixture",5,2005,"strict equifinality"
0.94544448723028,0.997997908687517,991,1000,4830,100000,1000,"latent mixture",5,2005,"strict equifinality"
0.95040945676751,0.998220860834981,1991,2000,4830,100000,2000,"latent mixture",5,2005,"strict equifinality"
0.948857676493493,0.997878654170362,2531,2540,4830,100000,3000,"latent mixture",5,2005,"strict equifinality"
0.984309093282058,0.999212454553483,291,300,5030,100000,300,"sample-space reduction",5,2005,"strict equifinality"
0.988332592509399,0.999493110683385,491,500,5030,100000,500,"sample-space reduction",5,2005,"strict equifinality"
0.985872991622844,0.999485875024018,991,1000,5030,100000,1000,"sample-space reduction",5,2005,"strict equifinality"
0.978624804296499,0.998752495080799,1991,2000,5030,100000,2000,"sample-space reduction",5,2005,"strict equifinality"
0.971316138954693,0.998156044055346,2603,2612,5030,100000,3000,"sample-space reduction",5,2005,"strict equifinality"
1.0038651803143,0.999601255655388,291,300,4853,100000,300,"finite Zipf reference",6,2006,"strict equifinality"
0.998711657377657,0.999514514245129,491,500,4853,100000,500,"finite Zipf reference",6,2006,"strict equifinality"
0.989185035645923,0.999400724823906,991,1000,4853,100000,1000,"finite Zipf reference",6,2006,"strict equifinality"
0.976866882183839,0.998727951800515,1991,2000,4853,100000,2000,"finite Zipf reference",6,2006,"strict equifinality"
0.972350173241059,0.998224276679781,2589,2598,4853,100000,3000,"finite Zipf reference",6,2006,"strict equifinality"
0.982190097642255,0.998703566170835,291,300,4595,100000,300,"Zipf Markov control",6,2006,"strict equifinality"
0.969958993347539,0.998992024230749,491,500,4595,100000,500,"Zipf Markov control",6,2006,"strict equifinality"
0.973323710928219,0.999282632369607,991,1000,4595,100000,1000,"Zipf Markov control",6,2006,"strict equifinality"
0.965163629443475,0.99866108930867,1991,2000,4595,100000,2000,"Zipf Markov control",6,2006,"strict equifinality"
0.971252682015269,0.998222704785956,2557,2566,4595,100000,3000,"Zipf Markov control",6,2006,"strict equifinality"
0.952647380790051,0.999265691160632,291,300,4758,100000,300,"latent mixture",6,2006,"strict equifinality"
0.958071153573184,0.999478550220959,491,500,4758,100000,500,"latent mixture",6,2006,"strict equifinality"
0.964286103823949,0.999379211556807,991,1000,4758,100000,1000,"latent mixture",6,2006,"strict equifinality"
