"n","vocabulary","beta_local","beta_local_r2","generator","replicate","seed","benchmark"
9657,452,0.991634888215519,0.99827475366016,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
11285,529,0.976497089121744,0.998569423814191,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
13188,608,0.9465136407454,0.999740306441086,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
15412,704,0.952981599880337,0.999749797098839,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
18011,826,0.944191910270898,0.999701214260199,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
21049,947,0.941795796031339,0.999649879877484,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
24598,1107,0.944284212953122,0.999591648640191,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
28746,1269,0.957603154527108,0.998974431038417,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
33594,1465,0.986603289544798,0.998809698258454,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
39259,1721,1.00923968085297,0.998755222882702,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
45879,2034,1.03028008031801,0.999679176943189,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
53616,2395,1.03366117322639,0.999791366804974,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
62657,2820,1.02354062262734,0.999767157282166,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
73223,3287,1.02354062262734,0.999767157282166,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
85570,3838,1.02354062262734,0.999767157282166,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
100000,4494,1.02354062262734,0.999767157282166,"Simon reinforcement",1,2001,"Zipf-compatible / mimicking"
500,202,0.713501048952425,0.99925452648541,"random segmentation",2,2002,"Zipf-compatible / mimicking"
584,227,0.713501048952425,0.99925452648541,"random segmentation",2,2002,"Zipf-compatible / mimicking"
683,254,0.713501048952425,0.99925452648541,"random segmentation",2,2002,"Zipf-compatible / mimicking"
798,281,0.713501048952425,0.99925452648541,"random segmentation",2,2002,"Zipf-compatible / mimicking"
933,313,0.727107204800463,0.998554481214615,"random segmentation",2,2002,"Zipf-compatible / mimicking"
1090,351,0.755872272450503,0.997906318314623,"random segmentation",2,2002,"Zipf-compatible / mimicking"
1274,398,0.789854100707675,0.998783082740288,"random segmentation",2,2002,"Zipf-compatible / mimicking"
1488,450,0.818316442310542,0.999375618998362,"random segmentation",2,2002,"Zipf-compatible / mimicking"
1739,514,0.839392260937864,0.999673535589924,"random segmentation",2,2002,"Zipf-compatible / mimicking"
2033,586,0.8539213682865,0.999757050019208,"random segmentation",2,2002,"Zipf-compatible / mimicking"
2375,671,0.86481038357478,0.999946086268722,"random segmentation",2,2002,"Zipf-compatible / mimicking"
2776,769,0.84710966079864,0.998942072827463,"random segmentation",2,2002,"Zipf-compatible / mimicking"
3244,882,0.824464061734602,0.998048551863162,"random segmentation",2,2002,"Zipf-compatible / mimicking"
3791,1009,0.796559761813224,0.997938906005021,"random segmentation",2,2002,"Zipf-compatible / mimicking"
4431,1120,0.776789084876783,0.998809943964068,"random segmentation",2,2002,"Zipf-compatible / mimicking"
5178,1262,0.752844020332626,0.999338994312912,"random segmentation",2,2002,"Zipf-compatible / mimicking"
6051,1419,0.745245061319448,0.999565026489497,"random segmentation",2,2002,"Zipf-compatible / mimicking"
7071,1609,0.742756436731745,0.999430892161489,"random segmentation",2,2002,"Zipf-compatible / mimicking"
8263,1785,0.738402698663951,0.999528861353727,"random segmentation",2,2002,"Zipf-compatible / mimicking"
9657,2016,0.736188452212017,0.999577853349828,"random segmentation",2,2002,"Zipf-compatible / mimicking"
11285,2236,0.741700900747395,0.999343609440128,"random segmentation",2,2002,"Zipf-compatible / mimicking"
13188,2530,0.750833817636356,0.999652021343318,"random segmentation",2,2002,"Zipf-compatible / mimicking"
15412,2840,0.75717890277887,0.999588580430421,"random segmentation",2,2002,"Zipf-compatible / mimicking"
18011,3219,0.773211807778954,0.999764960624859,"random segmentation",2,2002,"Zipf-compatible / mimicking"
21049,3596,0.778360877734609,0.999693684250333,"random segmentation",2,2002,"Zipf-compatible / mimicking"
24598,4077,0.786810855132707,0.99976032983501,"random segmentation",2,2002,"Zipf-compatible / mimicking"
28746,4630,0.788149655599186,0.999777001518801,"random segmentation",2,2002,"Zipf-compatible / mimicking"
33594,5237,0.793934162802117,0.999926946750473,"random segmentation",2,2002,"Zipf-compatible / mimicking"
39259,5927,0.787221341784362,0.999925291595102,"random segmentation",2,2002,"Zipf-compatible / mimicking"
45879,6678,0.781975363387485,0.999973476153624,"random segmentation",2,2002,"Zipf-compatible / mimicking"
53616,7563,0.779156894343907,0.99997838323801,"random segmentation",2,2002,"Zipf-compatible / mimicking"
62657,8518,0.775644895973976,0.999974396935114,"random segmentation",2,2002,"Zipf-compatible / mimicking"
73223,9625,0.775644895973976,0.999974396935114,"random segmentation",2,2002,"Zipf-compatible / mimicking"
85570,10855,0.775644895973976,0.999974396935114,"random segmentation",2,2002,"Zipf-compatible / mimicking"
100000,12224,0.775644895973976,0.999974396935114,"random segmentation",2,2002,"Zipf-compatible / mimicking"
500,27,0.841267776814488,0.98639415895912,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
584,31,0.841267776814488,0.98639415895912,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
683,37,0.841267776814488,0.98639415895912,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
798,38,0.841267776814488,0.98639415895912,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
933,46,0.854195233291403,0.985898932249728,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
1090,54,0.876166513530214,0.985730527638514,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
1274,59,0.934467177724508,0.995356516202415,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
1488,70,0.940260141117655,0.994605579253762,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
1739,81,0.977758188560198,0.994408337772165,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
2033,93,1.00871095175484,0.998158120370544,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
2375,113,1.00419567294266,0.99819782060039,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
2776,132,1.00742260697064,0.99828652684768,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
3244,150,1.0091011025837,0.998284085001705,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
3791,178,0.98153331846965,0.999241770900429,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
4431,207,0.981557393419348,0.999242041568701,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
5178,244,0.982895854953359,0.999292902918208,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
6051,281,0.980154281194286,0.999434548399337,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
7071,326,0.985938453047224,0.999381681898769,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
8263,378,0.980794676300537,0.999342520693191,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
9657,450,1.00233487134795,0.999403272974347,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
11285,523,1.02312732397765,0.999217878260895,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
13188,603,1.03217622897869,0.999296352521755,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
15412,719,1.03638837043534,0.999241690479825,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
18011,853,1.05068372570573,0.999613677923015,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
21049,996,1.05189077777354,0.999651927120995,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
24598,1178,1.02136021425494,0.999365444890637,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
28746,1384,0.990562404067059,0.99891568569227,"Simon reinforcement",2,2002,"Zipf-compatible / mimicking"
