"innovation_prob","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
0.045,"coarse",0.997653284809223,0.0640396555532064,0.00234671519077678,0.0607986579393214,4488.6,51.1233801699379,0.00881131549859602
0.045,"refined",0.997653284809223,0.0640396555532064,0.00234671519077678,0.0607986579393214,4488.6,51.1233801699379,0.00881131549859602
0.035,"coarse",1.00419450110486,0.0465071924659434,0.00419450110486408,0.0443195317605746,3490.6,61.1159190027897,0.0281501432299296
0.035,"refined",1.00419450110486,0.0465071924659434,0.00419450110486408,0.0443195317605746,3490.6,61.1159190027897,0.0281501432299296
0.041,"refined",1.00469334195347,0.040301524772209,0.00469334195347182,0.0385203721134764,4096.3,66.3660723228033,0.0352439339075499
0.053,"refined",1.00889813217967,0.0493226962295099,0.00889813217967039,0.0476301614872399,5301.8,38.1511613337145,0.126682810059017
0.061,"refined",0.991037532709413,0.0667038151557643,0.00896246729058681,0.0639123218216626,6090.9,58.491119933808,0.128521311895741
0.033,"refined",1.01093146639076,0.0611107127378387,0.010931466390758,0.0589963070678687,3295,59.1344982974312,0.191195131923636
0.057,"refined",0.988874110578077,0.0735017351239636,0.0111258894219234,0.0706118968378477,5698.2,51.0333224472011,0.198056664686187
0.055,"coarse",0.988621986043437,0.0658127881718565,0.0113780139565635,0.063463769032843,5505.9,46.1818867811469,0.207134722553205
0.055,"refined",0.988621986043437,0.0658127881718565,0.0113780139565635,0.063463769032843,5505.9,46.1818867811469,0.207134722553205
0.063,"refined",0.987420243331799,0.0853948782990279,0.0125797566682008,0.081983577584577,6290.4,61.4766441649004,0.253200444529827
0.047,"refined",0.986164377299703,0.0337171519052169,0.0138356227002973,0.034850913256965,4695.6,46.9235785317171,0.306279128807969
0.051,"refined",0.986071864148252,0.0529415455306741,0.0139281358517483,0.0521202406667847,5099.3,39.4294024527101,0.310388749287612
0.043,"refined",0.985369991669309,0.061530394919318,0.0146300083306912,0.0601782991849271,4292.4,47.8427981344458,0.342459430009749
0.037,"refined",0.984332225532084,0.0541976612341336,0.0156677744679157,0.053750599919465,3689.8,68.6841401715935,0.392766650843952
0.065,"coarse",0.982356293016414,0.0796448667607466,0.017643706983586,0.0775904292894813,6498.6,64.8231782963813,0.498080633796225
0.065,"refined",0.982356293016414,0.0796448667607466,0.017643706983586,0.0775904292894813,6498.6,64.8231782963813,0.498080633796225
0.039,"refined",0.980350531332268,0.0454381207076162,0.0196494686677318,0.0473736440546859,3896.4,74.4837044072207,0.617762590278676
0.027,"refined",1.02090822937676,0.0636100392561176,0.0209082293767573,0.0638652287275278,2705.8,63.8727902422724,0.699446489073755
0.017,"coarse",1.02257235807405,0.0401657478990171,0.022572358074054,0.0442884852177399,1696.1,35.3378927875824,0.815218158437297
0.049,"refined",0.976900661990025,0.0459708401281546,0.0230993380099754,0.049351451289487,4899.9,39.7169149523642,0.853727066398553
0.031,"refined",1.02318777536756,0.0515821505214125,0.0231877753675644,0.0541508943016541,3091.6,68.042796989999,0.860276682394606
0.02,"coarse",1.02424096275048,0.0723462585721868,0.0242409627504769,0.0727887854791131,1997.7,46.5929179167822,0.940198840112016
0.059,"refined",0.975054558515643,0.0458352485102775,0.0249454414843571,0.0501304104935167,5895.3,52.8142447114833,0.995640081359172
0.029,"refined",1.02990030173267,0.0514779324167109,0.029900301732666,0.057262621464739,2895.9,65.970447929357,1.43044486992715
0.085,"coarse",0.963433542876101,0.0532487071656838,0.0365664571238988,0.0623617520594876,8508,81.6210757096474,2.13936925855029
0.025,"coarse",1.04866175967118,0.0305637665872411,0.0486617596711769,0.056645355498,2498.2,63.3768271706798,3.78874696687261
0.025,"refined",1.04866175967118,0.0305637665872411,0.0486617596711769,0.056645355498,2498.2,63.3768271706798,3.78874696687261
0.075,"coarse",0.949999508602271,0.0635677722879256,0.0500004913977286,0.0783378876808593,7506.8,68.7326543775066,4.00007862402292
0.014,"coarse",1.06298149200136,0.0682986683839538,0.0629814920013643,0.0903598673495988,1402.3,25.8673968969091,6.34666933554866
0.011,"coarse",1.06561618160076,0.0927141677577686,0.0656161816007597,0.109735174399907,1104.2,27.6678714597114,6.88877326058219
0.095,"coarse",0.929755498393262,0.0573661354598188,0.070244501606738,0.0888598680722286,9516,94.0401805376593,7.89486400956643
0.008,"coarse",1.08929117931356,0.087119988540646,0.0892911793135571,0.121670940927552,801.7,24.8329977605962,12.7566635251293
0.005,"coarse",1.09808462511099,0.0985420225828989,0.098084625110989,0.135499339025764,499.8,16.0332986832612,15.3929498930612
0.002,"coarse",1.21222307610547,0.250482921067358,0.212223076105471,0.318600311367489,200.9,9.90454441153151,72.0618144506694
