"vocabulary_size","scale_min","scale_max","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5250,0.5,10034.938,"50-seed-final",0.995753264903222,0.0335988857307112,0.00424673509677775,0.0335312120103149,4986.46,65.5392731614458,0.0370258053670118
5400,0.5,8663.5636,"50-seed-final",1.00344603156451,0.0338021212454366,0.00344603156451462,0.03363936483082,5032.58,75.8946880451418,0.0658704811712866
5400,0.5,8049.8447,"50-seed-final",1.00661503541257,0.033518779262479,0.00661503541257402,0.0338348501620957,4998.38,88.9241570906675,0.0701305874179612
5250,0.5,10800,"50-seed-final",0.993428582011513,0.0337698322939036,0.00657141798848682,0.0340701786915569,5007.8,58.4807660688538,0.0717934427905885
5250,0.5,9324.0722,"50-seed-final",0.999328954935962,0.0332148822735395,0.000671045064038145,0.0328879026061887,4958.26,65.7825142699294,0.0788042096339665
5500,0.5,7479.6012,"50-seed-final",1.0096949845755,0.0338382804808701,0.00969498457550189,0.0348729317279637,5022.3,93.2856595930708,0.172391966695346
5400,0.5,9324.0722,"50-seed-final",1.00056007733684,0.0336291244984205,0.00056007733683594,0.03329584569977,5064.3,75.1298875282001,0.181921453988568
5400,0.5,7479.6012,"50-seed-final",1.00893100674197,0.0338370755905518,0.00893100674197034,0.0346671546605057,4955.78,89.146586460453,0.215302537735623
5500,0.5,8049.8447,"50-seed-final",1.00705638176268,0.0339396509334822,0.00705638176267565,0.0343315369734229,5059.86,95.6901909970987,0.237036349145041
5500,0.5,8000,"50-seed-final",1.00724276821725,0.0336444783141066,0.00724276821725267,0.0340847413670203,5062.22,90.6395169935075,0.253874393990462
5250,0.5,8663.5636,"50-seed-final",1.00267958346729,0.0330679416184262,0.00267958346729236,0.0328450780967292,4924.38,73.311716356269,0.269536488483502
5500,0.5,6949.7531,"50-seed-final",1.01244594243079,0.0332062483885163,0.0124459424307901,0.035149727116858,4976.2,100.959074351331,0.273137842570998
5600,0.5,6949.7531,"50-seed-final",1.01311004721748,0.0335576242086707,0.0131100472174832,0.0357136556197261,5033.24,105.437970932135,0.323779417959331
5400,2,6750,"50-seed-final",1.01432190097095,0.0316284363915667,0.0143219009709528,0.0344306212001127,5018.96,78.0711240354798,0.344103541111235
5500,1,6750,"50-seed-final",1.01438642926718,0.032626335036266,0.0143864292671785,0.0353575668025988,5024.74,91.8216572203632,0.358219967042742
5400,1,6750,"50-seed-final",1.01412543475167,0.0328089688207921,0.0141254347516717,0.0354179018761102,4961.72,82.010213400776,0.384873827485951
5400,0.5,10034.938,"50-seed-final",0.997540109390698,0.0339336770897829,0.00245989060930174,0.0336825713660153,5096.1,68.4526501029905,0.41238315807731
5500,0.5,8663.5636,"50-seed-final",1.00372169825211,0.0334566349611237,0.00372169825210755,0.0333288243468501,5098.5,85.9072233308013,0.445028617066919
5600,0.5,6457.439,"50-seed-final",1.01661706628075,0.0339436392371195,0.0166170662807539,0.0374867192955784,4986.74,114.447708405121,0.449638361561791
5600,0.5,7479.6012,"50-seed-final",1.01067395964419,0.0343199120503953,0.0106739596441867,0.035612254216346,5084,101.887092371098,0.490704897346835
5400,2,6271.8362,"50-seed-final",1.01732300420205,0.0315066885686589,0.0173230042020494,0.0356777867959243,4983.34,82.2178812667901,0.492515392603002
5500,1,6271.8362,"50-seed-final",1.0176642642186,0.0332515409041852,0.0176642642186002,0.0373574343797479,4971.32,96.2669417901735,0.536010210439051
5250,0.5,8049.8447,"50-seed-final",1.00510020908732,0.0338892909396689,0.00510020908731668,0.0339341493531221,4895.24,74.0492279721086,0.539801662693458
5600,1,6271.8362,"50-seed-final",1.01820759266458,0.0331411250450092,0.0182075926645751,0.0375217792289097,5031.32,103.559396345424,0.573752193887343
5500,2,6271.8362,"50-seed-final",1.018111460446,0.0312134764856512,0.0181114604460009,0.0358164835169639,5042.64,86.3218372825598,0.604963755965663
5400,0.5,6949.7531,"50-seed-final",1.01233911797542,0.0336587060899275,0.0123391179754173,0.0355317345220639,4910.12,99.0599983106507,0.609209004283051
5250,2,6750,"50-seed-final",1.01374403711418,0.0320745661710592,0.0137440371141824,0.0345991444309891,4917.5,67.0102794429363,0.609805582287832
5750,0.5,6000,"50-seed-final",1.019590371344,0.0341769058048629,0.0195903713440007,0.0390958095194668,5003.62,124.163632981248,0.614634235420316
5750,0.5,6457.439,"50-seed-final",1.01700248842442,0.0334730115842262,0.0170024884244215,0.0372440366642766,5065.98,120.629723551377,0.653495385376943
5600,1,6750,"50-seed-final",1.01510190375916,0.0325445331570668,0.0151019037591644,0.0355813322234323,5082.58,96.5541172142359,0.663063827387638
5500,2,6750,"50-seed-final",1.01476370122017,0.0319393570871229,0.0147637012201682,0.0348953715302527,5085.62,77.8897415372184,0.669066656907683
