"vocabulary_size","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5150,"refined",0.990907389866721,0.00461617485334256,0.00909261013327889,0.0100922605141155,4984.8,12.0535840681886,0.14258064220271
5175,"refined",0.990584252899154,0.00458998838135128,0.00941574710084558,0.0103738848785751,5006,12.7453695295368,0.143448151657026
5200,"coarse",0.99093944275285,0.00450006203738536,0.00906055724715016,0.010015947290954,5028.3,13.0558628805436,0.166744598922467
5200,"refined",0.99093944275285,0.00450006203738536,0.00906055724715016,0.010015947290954,5028.3,13.0558628805436,0.166744598922467
5125,"refined",0.99092577694531,0.00526796890676529,0.00907422305468997,0.0103594339038699,4961.3,11.096045341572,0.198829325119803
5225,"refined",0.99042399756534,0.00504923813787313,0.00957600243465961,0.0107072474438702,5050.5,13.689006132254,0.25892988407956
5100,"coarse",0.991430483519996,0.00516273072237444,0.00856951648000437,0.00987041145857863,4939.7,11.0760000802536,0.281073308989246
5100,"refined",0.991430483519996,0.00516273072237444,0.00856951648000437,0.00987041145857863,4939.7,11.0760000802536,0.281073308989246
5250,"refined",0.989980536378889,0.00440870880473702,0.0100194636211109,0.0108573796676378,5071.5,14.2302494707577,0.384627478223876
5075,"refined",0.991031425875365,0.00391092189245845,0.00896857412463503,0.00970572515956908,4919,9.70681318570736,0.425091633777124
5275,"refined",0.990574124538887,0.0047603517692108,0.00942587546111295,0.0104518889335075,5094.3,13.7198153534708,0.530049993349034
5050,"refined",0.990509418616805,0.00435686041561055,0.0094905813831947,0.010351576904223,4896.5,10.8653373420044,0.630259676627395
5300,"coarse",0.990417950081802,0.00460439298314572,0.00958204991819833,0.0105307203886421,5118.8,14.6802966969715,0.759583038420886
5300,"refined",0.990417950081802,0.00460439298314572,0.00958204991819833,0.0105307203886421,5118.8,14.6802966969715,0.759583038420886
5025,"refined",0.990967483114354,0.00487932657248256,0.00903251688564577,0.0101495520251052,4874,10.7393357957247,0.854339673418545
5325,"refined",0.991055772997041,0.00458690467561972,0.0089442270029586,0.00994660352750392,5140.1,15.1910061110733,0.976523535159947
5000,"coarse",0.990223957203472,0.00398194353580217,0.00977604279652777,0.0104805200085505,4851,11.2743563501918,1.16985431053499
5000,"refined",0.990223957203472,0.00398194353580217,0.00977604279652777,0.0104805200085505,4851,11.2743563501918,1.16985431053499
5350,"refined",0.991049350282981,0.00466177057466453,0.0089506497170192,0.00998363785193065,5159.9,15.2056276131934,1.22923317713098
4975,"refined",0.99108916741266,0.00386905474962783,0.00891083258734049,0.00963719687407415,4828.3,11.4605603896339,1.48376286329316
5375,"refined",0.9911832518071,0.00445922735330546,0.00881674819290046,0.009779125033797,5180.4,14.2610580875957,1.52026799120696
4950,"refined",0.99154240094106,0.0035743870451374,0.00845759905894006,0.00911205796268797,4807.1,10.5140118149279,1.83438745920627
5400,"coarse",0.990869301021648,0.00433218598780668,0.00913069897835239,0.0100130273006188,5202.1,13.7796145729036,1.87794617279179
5400,"refined",0.990869301021648,0.00433218598780668,0.00913069897835239,0.0100130273006188,5202.1,13.7796145729036,1.87794617279179
5425,"refined",0.99081239895227,0.00543342566500206,0.00918760104772964,0.0105347954903565,5224,12.952906151817,2.26913995072348
4900,"coarse",0.991560603386253,0.00328276819644575,0.00843939661374726,0.00899568371679241,4765,10.9544511501033,2.68895272734276
5450,"refined",0.990342772327019,0.00401358462298202,0.00965722767298116,0.0103807524631429,5247,9.97775303139718,2.73258673168318
5500,"coarse",0.990869934941343,0.00437979081572303,0.00913006505865732,0.0100310716678657,5290.1,6.62403032735945,3.66767729316384
4800,"coarse",0.991181677140664,0.0034084185256595,0.00881832285933604,0.00939246523618487,4676.4,9.41865760663966,5.09870755907981
5600,"coarse",0.991126275006195,0.00489290473623172,0.00887372499380523,0.0100144625591061,5373.4,5.85377371160405,5.88966023283677
5700,"coarse",0.990940170099408,0.00518648859783341,0.00905982990059218,0.0103097146131973,5460.1,7.26406681320227,8.74148291150799
5800,"coarse",0.99120581392215,0.00446756114074395,0.0087941860778501,0.0097622180401541,5541.3,7.49888880657217,11.8637786278611
5900,"coarse",0.991230538975922,0.00514586112185651,0.00876946102407794,0.0100366998893915,5624.7,7.64562329411772,15.5233593748515
6000,"coarse",0.992116528388516,0.00548116805152405,0.00788347161148373,0.00944394025485194,5707.9,13.2618919380976,19.5808535747453
6100,"coarse",0.992717431884965,0.0054465231401742,0.00728256811503536,0.00892938694619831,5790.3,13.4416434180415,24.0120180053561
6200,"coarse",0.992152084250474,0.00552855367120677,0.00784791574952637,0.00943918411397596,5867.7,11.225467077637,28.5518143068356
