"generator","mean_alpha_ols","sd_alpha_ols","abs_bias_ols","mean_alpha_mle","sd_alpha_mle","abs_bias_mle","n"
"finite Zipf reference",0.991990848063515,0.00508706127505965,0.00800915193648477,0.994603172895445,0.00413055273148807,0.0053968271045548,100
"latent mixture",0.994438407187886,0.0314854616248348,0.00556159281211432,1.00439113463554,0.0286083009132023,0.0043911346355443,100
"sample-space reduction",0.993158359327797,0.00542955598575225,0.00684164067220305,0.995450505699004,0.00359702631038094,0.00454949430099649,100
"Zipf Markov control",0.98421571691677,0.00652535192382598,0.0157842830832304,0.989324178807869,0.00469178362763168,0.0106758211921308,100
