"vocabulary_size","persistence","stage","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss"
5550,0.35,"refined",0.98360382381481,0.00475816895575282,0.01639617618519,0.017006197344678,4992.9,15.0366219610656,0.432378979615341
5500,0.35,"coarse",0.983442241580711,0.00531288461988819,0.0165577584192892,0.0173079008709133,4959.6,12.6947058081531,0.511785926801307
5500,0.35,"refined",0.983442241580711,0.00531288461988819,0.0165577584192892,0.0173079008709133,4959.6,12.6947058081531,0.511785926801307
5525,0.35,"refined",0.982428518461546,0.00456751878446223,0.0175714815384539,0.018097871933407,4976,13.4742552876052,0.519734564571663
5575,0.35,"refined",0.981259578667014,0.00545116981875429,0.0187404213329858,0.01944086209229,5012,14.422205101856,0.568310100498958
5600,0.35,"coarse",0.97943026058179,0.00509949787886104,0.0205697394182098,0.0211309860273465,5031.5,13.1930116181089,0.720806452904466
5600,0.35,"refined",0.97943026058179,0.00509949787886104,0.0205697394182098,0.0211309860273465,5031.5,13.1930116181089,0.720806452904466
5475,0.35,"refined",0.980257483922693,0.00474508058148101,0.0197425160773068,0.0202492259559468,4943.6,11.2269516986778,0.766614487250204
5650,0.35,"refined",0.981098500319815,0.00591025372432031,0.0189014996801846,0.019715594825855,5067.1,15.4664511479237,0.769081015140528
5625,0.35,"refined",0.979291238687447,0.00410326323506366,0.0207087613125529,0.0210714472060865,5049.5,16.365614358567,0.793996058743056
5675,0.35,"refined",0.982251259122327,0.00387116320770094,0.0177487408776725,0.0181247101181055,5083.8,14.2501461980804,0.810985149935003
5425,0.35,"refined",0.982035048355609,0.0036544959808693,0.017964951644391,0.0182964284594584,4908.1,13.4284110088358,0.898760963716303
5450,0.35,"refined",0.97912688340693,0.00583735765064857,0.0208731165930705,0.021595237118757,4926.5,12.0208152801713,0.940776867920342
5700,0.35,"coarse",0.981699097410104,0.00621188841663487,0.0183009025898957,0.0192263318793654,5100.1,13.1946959040366,0.97245574396493
5700,0.35,"refined",0.981699097410104,0.00621188841663487,0.0183009025898957,0.0192263318793654,5100.1,13.1946959040366,0.97245574396493
5725,0.35,"refined",0.9832341545667,0.00521116456465193,0.0167658454332996,0.0174795361952538,5114.5,15.4074296652261,1.01935856046737
5400,0.35,"coarse",0.98188587189779,0.00711835863428341,0.0181141281022099,0.0193319829191142,4888.7,14.9670007386621,1.08806941391484
5400,0.35,"refined",0.98188587189779,0.00711835863428341,0.0181141281022099,0.0193319829191142,4888.7,14.9670007386621,1.08806941391484
5375,0.35,"refined",0.981102799976284,0.00461955845104337,0.0188972000237156,0.019398723076292,4871.1,12.3238702434656,1.32931846811605
5750,0.35,"refined",0.980426741476491,0.00554071738722425,0.0195732585235088,0.0202667719056758,5133.1,13.9479190004977,1.37988019246573
5775,0.35,"refined",0.980094114580121,0.00550157673252533,0.0199058854198789,0.0205787484128366,5150.7,15.6279663850846,1.61374208210225
5350,0.35,"refined",0.979840631125215,0.00534624883759674,0.0201593688747852,0.0207875994862277,4854.4,13.5826686953959,1.62062300043918
