"model","stage","n_calibration_seeds","mean_alpha","sd_alpha","abs_alpha_bias","alpha_rmse","mean_vocabulary","sd_vocabulary","loss","relative_vocabulary_error","within_alpha_tolerance","within_vocabulary_tolerance"
"maxent","refined",10,0.990907389866721,0.00461617485334256,0.00909261013327889,0.0100922605141155,4984.8,12.0535840681886,0.14258064220271,0.00303999999999996,TRUE,TRUE
"markov","refined",10,0.98360382381481,0.00475816895575282,0.01639617618519,0.017006197344678,4992.9,15.0366219610656,0.432378979615341,0.00142000000000007,FALSE,TRUE
"ssr","refined",10,0.991294712502388,0.00329193964080872,0.00870528749761157,0.00924852476641149,4990.6,10.9056560248952,0.125185755490814,0.00187999999999993,TRUE,TRUE
"latent","50-seed-final",50,0.995753264903222,0.0335988857307112,0.00424673509677775,0.0335312120103149,4986.46,65.5392731614458,0.0370258053670118,0.00270799999999999,TRUE,TRUE
